,title,director,year,imdb_score,gross,budget,duration,actor_1,actor_2,language,country,content_rating
193,The Adventures of Tintin ,Steven Spielberg,2011.0,7.4,77564037.0,135000000.0,107.0,Toby Jones,Mackenzie Crook,English,USA,PG
194,Harry Potter and the Prisoner of Azkaban ,Alfonso Cuarón,2004.0,7.8,249358727.0,130000000.0,142.0,Daniel Radcliffe,Gary Oldman,English,UK,PG
195,Australia ,Baz Luhrmann,2008.0,6.6,49551662.0,130000000.0,165.0,Essie Davis,Bryan Brown,English,Australia,PG-13
196,After Earth ,M. Night Shyamalan,2013.0,4.9,60522097.0,130000000.0,100.0,Will Smith,Zoë Kravitz,English,USA,PG-13
197,Dinosaur ,Eric Leighton,2000.0,6.5,137748063.0,127500000.0,82.0,Alfre Woodard,D.B. Sweeney,English,USA,PG
199,Night at the Museum: Secret of the Tomb ,Shawn Levy,2014.0,6.2,113733726.0,127000000.0,98.0,Robin Williams,Rami Malek,English,USA,PG
200,Megamind ,Tom McGrath,2010.0,7.3,148337537.0,130000000.0,95.0,J.K. Simmons,Brad Pitt,English,USA,PG
201,Harry Potter and the Sorcerer's Stone ,Chris Columbus,2001.0,7.5,317557891.0,125000000.0,159.0,Daniel Radcliffe,Fiona Shaw,English,UK,PG
202,R.I.P.D. ,Robert Schwentke,2013.0,5.6,33592415.0,130000000.0,96.0,Ryan Reynolds,Jeff Bridges,English,USA,PG-13
204,Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,2003.0,8.1,305388685.0,140000000.0,143.0,Johnny Depp,Orlando Bloom,English,USA,PG-13
206,The Hunger Games: Mockingjay - Part 1 ,Francis Lawrence,2014.0,6.7,337103873.0,125000000.0,123.0,Jennifer Lawrence,Philip Seymour Hoffman,English,USA,PG-13
207,The Da Vinci Code ,Ron Howard,2006.0,6.6,217536138.0,125000000.0,174.0,Tom Hanks,Seth Gabel,English,USA,PG-13
208,Rio 2 ,Carlos Saldanha,2014.0,6.4,131536019.0,103000000.0,101.0,Miguel Ferrer,Rachel Crow,English,USA,G
209,X-Men 2 ,Bryan Singer,2003.0,7.5,214948780.0,110000000.0,134.0,Hugh Jackman,Bruce Davison,English,Canada,PG-13
210,Fast Five ,Justin Lin,2011.0,7.3,209805005.0,125000000.0,132.0,Paul Walker,Vin Diesel,English,USA,PG-13
211,Sherlock Holmes: A Game of Shadows ,Guy Ritchie,2011.0,7.5,186830669.0,125000000.0,129.0,Robert Downey Jr.,Eddie Marsan,English,USA,PG-13
212,Clash of the Titans ,Louis Leterrier,2010.0,5.8,163192114.0,125000000.0,106.0,Liam Neeson,Jason Flemyng,English,USA,PG-13
213,Total Recall ,Paul Verhoeven,1990.0,7.5,119412921.0,65000000.0,113.0,Ronny Cox,Rachel Ticotin,English,USA,R
214,The 13th Warrior ,John McTiernan,1999.0,6.6,32694788.0,85000000.0,102.0,Tony Curran,Vladimir Kulich,English,USA,R
215,The Bourne Legacy ,Tony Gilroy,2012.0,6.7,113165635.0,125000000.0,135.0,Jeremy Renner,Scott Glenn,English,USA,PG-13
216,Batman & Robin ,Joel Schumacher,1997.0,3.7,107285004.0,125000000.0,125.0,Michael Gough,Vivica A. Fox,English,USA,PG-13
217,How the Grinch Stole Christmas ,Ron Howard,2000.0,6.0,260031035.0,123000000.0,110.0,Clint Howard,T.J. Thyne,English,USA,PG
218,The Day After Tomorrow ,Roland Emmerich,2004.0,6.4,186739919.0,125000000.0,124.0,Jake Gyllenhaal,Dennis Quaid,English,USA,PG-13
219,Mission: Impossible II ,John Woo,2000.0,6.1,215397307.0,125000000.0,123.0,Tom Cruise,Dougray Scott,English,USA,PG-13
220,The Perfect Storm ,Wolfgang Petersen,2000.0,6.4,182618434.0,140000000.0,130.0,Karen Allen,Mary Elizabeth Mastrantonio,English,USA,PG-13
221,Fantastic 4: Rise of the Silver Surfer ,Tim Story,2007.0,5.6,131920333.0,130000000.0,92.0,Chris Evans,Ioan Gruffudd,English,USA,PG
222,Life of Pi ,Ang Lee,2012.0,8.0,124976634.0,120000000.0,127.0,Suraj Sharma,Rafe Spall,English,USA,PG
223,Ghost Rider ,Mark Steven Johnson,2007.0,5.2,115802596.0,110000000.0,123.0,Nicolas Cage,Matt Long,English,USA,PG-13
224,Jason Bourne ,Paul Greengrass,2016.0,7.1,108521835.0,120000000.0,123.0,Matt Damon,Riz Ahmed,English,UK,PG-13
225,Charlie's Angels: Full Throttle ,McG,2003.0,4.8,100685880.0,120000000.0,107.0,Demi Moore,Bernie Mac,English,USA,PG-13
226,Prometheus ,Ridley Scott,2012.0,7.0,126464904.0,130000000.0,124.0,Michael Fassbender,Charlize Theron,English,USA,R
227,Stuart Little 2 ,Rob Minkoff,2002.0,5.4,64736114.0,120000000.0,77.0,Nathan Lane,Brad Garrett,English,USA,PG
228,Elysium ,Neill Blomkamp,2013.0,6.6,93050117.0,115000000.0,109.0,Matt Damon,Sharlto Copley,English,USA,R
229,The Chronicles of Riddick ,David Twohy,2004.0,6.7,57637485.0,105000000.0,134.0,Vin Diesel,Alexa Davalos,English,USA,PG-13
230,RoboCop ,José Padilha,2014.0,6.2,58607007.0,100000000.0,117.0,Gary Oldman,Abbie Cornish,English,USA,PG-13
231,Speed Racer ,Lana Wachowski,2008.0,6.1,43929341.0,120000000.0,135.0,Scott Porter,Kick Gurry,English,USA,PG
232,How Do You Know ,James L. Brooks,2010.0,5.3,30212620.0,120000000.0,121.0,Shelley Conn,Domenick Lombardozzi,English,USA,PG-13
233,Knight and Day ,James Mangold,2010.0,6.3,76418654.0,117000000.0,117.0,Tom Cruise,Marc Blucas,English,USA,PG-13
234,Oblivion ,Joseph Kosinski,2013.0,7.0,89021735.0,120000000.0,124.0,Morgan Freeman,Tom Cruise,English,USA,PG-13
235,Star Wars: Episode III - Revenge of the Sith ,George Lucas,2005.0,7.6,380262555.0,113000000.0,140.0,Natalie Portman,Christopher Lee,English,USA,PG-13
236,Star Wars: Episode II - Attack of the Clones ,George Lucas,2002.0,6.7,310675583.0,115000000.0,142.0,Natalie Portman,Christopher Lee,English,USA,PG
237,"Monsters, Inc. ",Pete Docter,2001.0,8.1,289907418.0,115000000.0,92.0,Steve Buscemi,John Ratzenberger,English,USA,G
238,The Wolverine ,James Mangold,2013.0,6.7,132550960.0,120000000.0,138.0,Hugh Jackman,Tao Okamoto,English,USA,PG-13
239,Star Wars: Episode I - The Phantom Menace ,George Lucas,1999.0,6.5,474544677.0,115000000.0,136.0,Natalie Portman,Liam Neeson,English,USA,PG
240,The Croods ,Kirk De Micco,2013.0,7.3,187165546.0,135000000.0,98.0,Ryan Reynolds,Emma Stone,English,USA,PG
242,Windtalkers ,John Woo,2002.0,6.0,40911830.0,115000000.0,153.0,Nicolas Cage,Roger Willie,English,USA,R
243,The Huntsman: Winter's War ,Cedric Nicolas-Troyan,2016.0,6.1,47952020.0,115000000.0,120.0,Chris Hemsworth,Sam Claflin,English,USA,PG-13
244,Teenage Mutant Ninja Turtles ,Jonathan Liebesman,2014.0,5.9,190871240.0,125000000.0,101.0,Noel Fisher,Danny Woodburn,English,USA,PG-13
245,Gravity ,Alfonso Cuarón,2013.0,7.8,274084951.0,100000000.0,91.0,Phaldut Sharma,Basher Savage,English,UK,PG-13
246,Dante's Peak ,Roger Donaldson,1997.0,5.8,67155742.0,116000000.0,108.0,Jamie Renée Smith,Grant Heslov,English,USA,PG-13
247,Teenage Mutant Ninja Turtles: Out of the Shadows ,Dave Green,2016.0,6.3,81638674.0,135000000.0,112.0,Stephen Amell,Noel Fisher,English,USA,PG-13
248,Fantastic Four ,Josh Trank,2015.0,4.3,56114221.0,120000000.0,100.0,Tim Blake Nelson,Reg E. Cathey,English,USA,PG-13
249,Night at the Museum ,Shawn Levy,2006.0,6.4,250863268.0,110000000.0,108.0,Robin Williams,Rami Malek,English,USA,PG
250,San Andreas ,Brad Peyton,2015.0,6.1,155181732.0,110000000.0,114.0,Dwayne Johnson,Ioan Gruffudd,English,USA,PG-13
251,Tomorrow Never Dies ,Roger Spottiswoode,1997.0,6.5,125332007.0,110000000.0,119.0,Vincent Schiavelli,Colin Salmon,English,UK,PG-13
252,The Patriot ,Roland Emmerich,2000.0,7.1,113330342.0,110000000.0,142.0,Heath Ledger,Adam Baldwin,English,USA,R
253,Ocean's Twelve ,Steven Soderbergh,2004.0,6.4,125531634.0,110000000.0,125.0,Brad Pitt,Julia Roberts,English,USA,PG-13
254,Mr. & Mrs. Smith ,Doug Liman,2005.0,6.5,186336103.0,120000000.0,126.0,Brad Pitt,Angelina Jolie Pitt,English,USA,PG-13
255,Insurgent ,Robert Schwentke,2015.0,6.3,129995817.0,110000000.0,119.0,Kate Winslet,Theo James,English,USA,PG-13
256,The Aviator ,Martin Scorsese,2004.0,7.5,102608827.0,110000000.0,170.0,Leonardo DiCaprio,Adam Scott,English,USA,PG-13
